ca-pe  182.48   1.829	
ca-pf  182.48   1.829	
ca-px  184.54   1.825	
ca-py  189.18   1.816	
ca-s   244.02   1.739	
ca-s4  211.54   1.788	
ca-s6  224.85   1.767	
ca-sh  215.91   1.781	
ca-ss  216.10   1.781	
ca-sx  190.35   1.825	
ca-sy  209.78   1.791	
c -c1  303.33   1.460	
c -c2  368.17   1.406	
c -c   224.38   1.548	
c -c3  243.22   1.524	
c -ca  272.66   1.491	
c -cc  295.35   1.468	
cc-cc  340.18   1.428	
cc-cd  416.13   1.373	
cc-ce  309.82   1.454	
cc-cf  427.69   1.366	
cc-cg  342.76   1.426	
cc-ch  341.16   1.427	
cc-cl  190.08   1.735	
cc-cx  290.53   1.472	
c -cd  295.35   1.468	
c -ce  280.40   1.482	
c -cf  280.40   1.482	
cc-f   364.99   1.341	
c -cg  312.91   1.451	
c -ch  312.91   1.451	
cc-h4  403.88   1.082	
cc-h5  403.49   1.082	
cc-ha  400.06   1.084	
c -cl  156.23   1.803	
cc-n2  500.74   1.290	
cc-n   353.83   1.381	
cc-n4  236.72   1.493	
cc-na  354.49   1.380	
cc-nc  369.10   1.369	
cc-nd  450.71   1.317	
cc-ne  356.61   1.379	
cc-nf  485.08   1.298	
cc-nh  363.47   1.373	
cc-no  296.62   1.429	
cc-oh  389.45   1.347	
cc-os  367.90   1.362	
cc-pd  240.75   1.733	
cc-sh  223.28   1.769	
cc-ss  231.98   1.756	
cc-sx  198.26   1.811	
cc-sy  214.05   1.784	
c -cu  360.20   1.412	
c -cx  265.90   1.498	
c -cy  222.38   1.551	
cd-cd  340.18   1.428	
cd-ce  427.69   1.366	
cd-cf  309.82   1.454	
cd-cg  341.16   1.427	
cd-ch  342.76   1.426	
cd-cl  190.08   1.735	
cd-cx  290.53   1.472	
cd-cy  259.34   1.505	
cd-h4  403.88   1.082	
cd-h5  403.68   1.082	
cd-ha  400.06   1.084	
cd-n2  500.74   1.290	
cd-n   353.83   1.381	
cd-na  354.49   1.380	
cd-nc  450.71   1.317	
cd-nd  369.10   1.369	
cd-ne  485.08   1.298	
cd-nh  363.47   1.373	
cd-oh  389.45   1.347	
cd-os  367.90   1.362	
cd-pc  240.75   1.733	
cd-ss  231.98   1.756	
cd-sy  214.05   1.784	
ce-ce  306.13   1.457	
ce-cf  452.16   1.351	
ce-cg  341.16   1.427	
ce-ch  336.29   1.431	
ce-cl  174.72   1.764	
ce-cx  261.83   1.502	
ce-cy  250.06   1.516	
ce-h4  385.40   1.092	
ce-ha  391.44   1.088	
ce-n1  461.59   1.311	
ce-n2  506.97   1.287	
ce-n   301.69   1.424	
ce-na  305.30   1.421	
ce-ne  336.57   1.394	
ce-nf  489.14   1.296	
ce-nh  341.71   1.390	
ce-oh  384.73   1.350	
ce-os  355.66   1.371	
ce-p2  190.37   1.814	
ce-pe  188.22   1.818	
ce-px  186.64   1.821	
ce-py  194.96   1.806	
ce-s   291.39   1.680	
ce-ss  215.60   1.781	
ce-sx  193.92   1.819	
ce-sy  211.48   1.788	
c -f   387.77   1.325	
cf-cf  306.13   1.457	
cf-cg  336.29   1.431	
cf-ch  341.16   1.427	
cf-h4  385.40   1.092	
cf-ha  391.44   1.088	
cf-n1  461.59   1.311	
cf-n2  506.97   1.287	
cf-n   301.69   1.424	
cf-ne  489.14   1.296	
cf-nf  336.57   1.394	
cf-nh  341.71   1.390	
cf-oh  384.73   1.350	
cf-os  355.66   1.371	
cf-p2  190.37   1.814	
cf-pf  188.22   1.818	
cf-px  186.64   1.821	
cf-py  194.96   1.806	
cf-s   291.39   1.680	
cf-sx  193.92   1.819	
cf-sy  211.48   1.788	
cg-cg  421.79   1.369	
cg-ch  811.54   1.206	
cg-n1  879.32   1.157	
cg-ne  435.38   1.326	
cg-pe  339.39   1.621	
c -h4  350.25   1.112	
c -h5  361.80   1.105	
c -ha  368.78   1.101	
ch-ch  421.79   1.369	
ch-n1  879.32   1.157	
ch-nf  435.38   1.326	
ch-pf  339.39   1.621	
c -i    89.53   2.209	
cl-cl   79.29   2.267	
cl-cx  172.69   1.768	
