X -c2-n3-X    4    1.200       180.000           2.000   
X -c2-n4-X    6    0.000       180.000           3.000   
X -c2-na-X    4    2.500       180.000           2.000
X -cc-na-X    4    6.800       180.000           2.000   
X -cd-na-X    4    6.800       180.000           2.000   
X -c2-nh-X    4    2.700       180.000           2.000
X -c2-no-X    4    3.000       180.000           2.000
X -c2-oh-X    2    2.100       180.000           2.000   
X -c2-os-X    2    2.100       180.000           2.000   
X -c2-p2-X    2   13.300       180.000           2.000   
X -c2-pe-X    2   13.300       180.000           2.000   
X -c2-pf-X    2   13.300       180.000           2.000   
X -ce-pf-X    2   13.300       180.000           2.000   
X -ce-pe-X    2    1.900       180.000           2.000   
X -cf-pf-X    2    1.900       180.000           2.000   
X -c2-pc-X    2    9.500       180.000           2.000   
X -c2-pd-X    2    9.500       180.000           2.000   
X -cc-pc-X    2    9.500       180.000           2.000   
X -cc-pd-X    2    9.500       180.000           2.000   
X -cd-pc-X    2    9.500       180.000           2.000   
X -cd-pd-X    2    9.500       180.000           2.000   
X -c2-p3-X    4    1.800       180.000           2.000
X -c2-p4-X    4   26.600       180.000           2.000   
X -ce-p4-X    4   26.600       180.000           2.000   
X -cf-p4-X    4   26.600       180.000           2.000   
X -c2-px-X    4    1.300         0.000           2.000
X -ce-px-X    4    1.300         0.000           2.000
X -cf-px-X    4    1.300         0.000           2.000
X -c2-p5-X    6   39.900       180.000           2.000   
X -ce-p5-X    6   39.900       180.000           2.000   
X -cf-p5-X    6   39.900       180.000           2.000   
X -c2-py-X    6    8.600       180.000           2.000
X -ce-py-X    6    8.600       180.000           2.000
X -cf-py-X    6    8.600       180.000           2.000
X -c2-sh-X    2    1.000       180.000           2.000
X -c2-ss-X    2    2.200       180.000           2.000
X -c2-s4-X    4   26.600       180.000           2.000   
X -ce-s4-X    4   26.600       180.000           2.000   
X -cf-s4-X    4   26.600       180.000           2.000   
X -c2-sx-X    4    2.400         0.000           2.000
X -ce-sx-X    4    2.400         0.000           2.000
X -cf-sx-X    4    2.400         0.000           2.000
X -c2-s6-X    6   39.900       180.000           2.000   
X -ce-s6-X    6   39.900       180.000           2.000   
X -cf-s6-X    6   39.900       180.000           2.000   
X -c2-sy-X    6    7.600       180.000           2.000
X -ce-sy-X    6    7.600       180.000           2.000
X -cf-sy-X    6    7.600       180.000           2.000
X -c3-c3-X    9    1.400         0.000           3.000   
X -cx-cx-X    9    1.400         0.000           3.000   
X -cy-cy-X    9    1.400         0.000           3.000   
X -c3-ca-X    6    0.000         0.000           2.000   
X -c3-n -X    6    0.000         0.000           2.000   
X -cx-n -X    6    0.000         0.000           2.000   
X -cy-n -X    6    0.000         0.000           2.000   
X -c3-n2-X    6    0.000         0.000           3.000   
X -c3-ne-X    6    0.000         0.000           3.000   
X -c3-nf-X    6    0.000         0.000           3.000   
X -c3-n3-X    6    1.800         0.000           3.000   
X -c3-n4-X    9    1.400         0.000           3.000   
X -c3-na-X    6    0.000         0.000           2.000   
X -c3-nh-X    6    0.000         0.000           2.000   
X -c3-no-X    6    0.000         0.000           2.000   
X -c3-oh-X    3    0.500         0.000           3.000   
X -c3-os-X    3    1.150         0.000           3.000   
X -c3-p2-X    3    0.800       180.000           2.000
X -c3-pe-X    3    0.800       180.000           2.000
X -c3-pf-X    3    0.800       180.000           2.000
X -c3-p3-X    6    0.800         0.000           3.000
X -c3-p4-X    6    0.800         0.000           3.000
X -c3-px-X    6    0.800         0.000           3.000
X -c3-p5-X    9    0.200         0.000           3.000
X -c3-py-X    9    0.200         0.000           3.000
X -c3-sh-X    3    0.750         0.000           3.000   
X -c3-ss-X    3    1.000         0.000           3.000   
X -c3-s4-X    6    1.200         0.000           3.000   
X -c3-sx-X    6    1.200         0.000           3.000   
